Date,OXO-5FI696 Augusta,OXO-5FIC600 Augusta,OXO-5FIC601 Augusta,OXO-5FIC608A Augusta,OXO-5FIC608B Augusta,OXO-5FIC612A Augusta,OXO-5FIC612B Augusta,OXO-5RIC606_Y Augusta,OXO-5TIC601 Augusta,OXO-5TIC603 Augusta,OXO-5TIC605B Augusta,OXO-5TIC606 Augusta,OXO-5TIC609 Augusta,month,day,day_of_week,week_of_year,kpi1
2022-07-07 15:00:00,0.8083542684713999,18.164176305135065,,,17.0646724700928,,,,15.23780822753905,25.0,25.0,25.0,,7,7,3.0,27,
2022-07-12 14:00:00,9732.9208984375,1969.95446777344,,473.170867919922,24.5670261383057,,9.30123901367188,211.847763061523,149.885101318359,131.856262207031,132.899978637695,133.078506469727,,7,12,1.0,28,
2022-07-12 15:00:00,9793.58544921875,2186.9512329101567,,563.4534378051759,27.211921056111663,,9.298847595850626,212.14092890421531,150.01203918457017,132.17524303089502,133.0494384765624,133.02243041992202,,7,12,1.0,28,
2022-07-12 16:00:00,9787.632649739584,1908.4310506184927,,548.4256314364349,25.253681182861367,,9.297150293986002,212.20944086710628,149.01471224698165,132.10173924764024,132.98258278586647,132.9060100208629,,7,12,1.0,28,
2022-07-12 17:00:00,9813.298177083334,2093.766357421877,,537.3350830078127,,,9.296973466873167,212.08326975504565,144.85233306884766,131.99645233154317,133.1141777038576,133.10035566850158,,7,12,1.0,28,
2022-07-12 18:00:00,9784.769694010416,2027.1965128580769,,564.2395047274505,,,9.30127469698588,212.39110183715815,142.73226651278426,131.902870871804,132.96739474209875,132.9150817871094,,7,12,1.0,28,
2022-07-12 19:00:00,9795.2392578125,2032.3997599283864,,541.2006835937501,25.253681182861367,,9.296871582667032,211.7243995666505,145.3539978027344,131.93350982666036,133.02014160156247,133.00335566202773,,7,12,1.0,28,
2022-07-12 20:00:00,9777.415201822916,2143.8067626953152,,580.1921109286224,,,9.298774798711142,211.79757181803396,145.2647120157878,131.94989568536948,133.02204895019514,132.9958801269531,,7,12,1.0,28,
2022-07-12 21:00:00,9826.873860677084,2033.99326578776,,528.5888838334519,25.5970087051392,,9.296609163284302,212.08320236206055,144.85640092329544,132.05559747869327,133.0201416015624,132.970474243164,,7,12,1.0,28,
2022-07-12 22:00:00,9792.236246744793,2192.59879557292,,542.9173278808597,,,9.297688643137612,211.76647949218756,145.1926391601564,132.07987976074236,133.02958488464353,132.9353281656901,,7,12,1.0,28,
2022-07-12 23:00:00,9825.91544596354,2168.286132812502,,564.91574605306,,,9.299850384394327,211.889488220215,145.13562520345067,131.85378265380874,133.02632141113273,132.9539916992186,,7,12,1.0,28,
2022-07-13 00:00:00,9809.507893880207,1962.6864013671864,,529.5021209716798,,,9.299020846684774,211.96675618489587,144.721439906529,131.94571685791024,133.0334913465711,132.94970841841246,,7,13,2.0,28,
2022-07-13 01:00:00,9794.317545572916,2216.582763671875,,560.2108891805015,,,9.30019736289978,211.7738367716472,144.8564036976207,132.00859578450525,132.99290466308588,132.92362721761057,,7,13,2.0,28,
2022-07-13 02:00:00,9801.60791015625,2150.3520914713567,,570.3431230024861,,,9.306351661682127,211.84519322713217,145.1130340576172,131.99712857333108,132.96700831821985,132.9573872884115,,7,13,2.0,28,
2022-07-13 03:00:00,9809.199951171877,1996.470540364585,,526.0688247680665,,,9.302372455596924,211.5437812805177,145.0011474609375,131.97222900390636,132.9990844726561,132.97983127170147,,7,13,2.0,28,
2022-07-13 04:00:00,9819.205973307293,2130.338785807295,,549.6185668945315,22.8122386932373,,9.299423774083456,211.9396044413249,145.02266235351567,132.03288269042977,133.02128601074202,132.9372848510741,,7,13,2.0,28,
2022-07-13 05:00:00,9807.988606770834,2201.1606852213567,,555.6389687278056,23.982096989949564,,9.30752428372701,211.85393269856783,141.18339708116343,132.13572692871102,133.07278442382798,133.050468444824,,7,13,2.0,28,
2022-07-13 06:00:00,9586.768798828123,2047.4381713867217,,517.4220470081677,24.277104187011737,,9.307567596435543,212.4500350952147,146.1773096720378,131.86414591471356,132.90735202365454,132.96635437011713,,7,13,2.0,28,
2022-07-13 07:00:00,9566.000651041666,1928.22664388021,,555.6389631791552,23.982096989949564,,9.303309679031372,211.86548868815103,146.48928070068368,131.97032165527358,132.99353408813462,132.9317901611326,,7,13,2.0,28,
2022-07-13 08:00:00,9449.70166015625,2144.41178385417,,542.6688038219107,25.597008705139192,,9.296027898788454,212.22736104329425,134.28656260172525,131.9826049804688,132.95399475097642,132.94928949529455,,7,13,2.0,28,
2022-07-13 09:00:00,9444.246175130207,2099.40826416016,,542.3220048384236,25.94033622741703,,9.295674482981363,212.0348523457845,143.76222483317068,132.0592041015625,132.9528503417969,132.9844360351562,,7,13,2.0,28,
2022-07-13 10:00:00,9442.989990234377,2025.6296793619813,,570.4471435546878,25.5970087051392,,9.300126552581789,212.034917195638,148.90615590413424,131.56932206587382,132.56396942138682,132.94660949707026,,7,13,2.0,28,
2022-07-13 11:00:00,9438.165364583334,2048.9265543619817,,524.7741283069959,25.3910121917725,,9.297473986943563,211.8522071838378,142.2471923828125,131.0187698364259,132.15734585848736,133.0054931640624,,7,13,2.0,28,
2022-07-13 12:00:00,9432.89588341346,2050.1447753906277,61.71066023508708,563.7077636718751,25.082017421722448,0.0059850425522371,9.296712288489708,212.1039334810697,146.70250056340151,131.0757624308268,132.0904083251956,132.99569147283373,,7,13,2.0,28,0.8263920695131431
