Date,OXO-5FIC602 Augusta_Optimized,OXO-5FIC603 Augusta_Optimized,OXO-5FIC606A Augusta_Optimized,OXO-5FIC606C Augusta_Optimized,OXO-5FIC607 Augusta_Optimized,OXO-5FIC609B Augusta_Optimized,OXO-5FIC611A Augusta_Optimized,OXO-5FIC611B Augusta_Optimized,OXO-5FIC618A Augusta_Optimized,OXO-5FIC618B Augusta_Optimized,OXO-5FIC618C Augusta_Optimized,OXO-5FIC618D Augusta_Optimized,OXO-5FIC622A Augusta_Optimized,OXO-5FIC622B Augusta_Optimized,OXO-5FIC622C Augusta_Optimized,OXO-5FIC636A Augusta_Optimized,OXO-5FIC636B Augusta_Optimized,OXO-5FIC636C Augusta_Optimized,OXO-5PIC605A Augusta_Optimized,OXO-5RIC606_Y Augusta_Optimized,OXO-5TIC002 Augusta_Optimized,OXO-5TIC601 Augusta_Optimized,OXO-5TIC602 Augusta_Optimized,OXO-5TIC603 Augusta_Optimized,OXO-5TIC604 Augusta_Optimized,OXO-5TIC605 Augusta_Optimized,OXO-5TIC606 Augusta_Optimized,OXO-5TIC607 Augusta_Optimized,OXO-5TIC659 Augusta_Optimized,5FI696_optimized,5FI696_before_optimized
2022-11-22 12:00:00,0.0,6146.621557617187,607.8301596761752,1631.1839640299486,0.0,2855.7949998358727,22.816638028922203,9675.556640625,0.0,2296.2915531446965,4422.184685202206,3845.0516634388136,0.0,2299.7267020089294,2781.0882364908857,7052.48168329832,7999.98095703125,3884.6198038736975,0.802052349348863,212.005119196574,28.0,141.1569127400716,123.55657196044923,126.27523434956868,124.54872667296856,128.10665823618575,130.12309829327242,126.07641387182822,300.09816741943365,11124.349,11124.349
2022-11-22 13:00:00,0.0,6147.420772298177,554.2194829262979,1699.524284811581,0.0,2923.0583375032293,18.92915584627261,9675.556640625,0.0,2298.407262880941,4423.416653215392,3876.961449993544,0.0,2315.3059344331105,2793.0883422851566,7062.971788642821,6728.85159881844,3888.877571614584,0.7887642830610276,212.68569997151693,28.0,141.14293060302734,123.52770614624022,126.58049087524412,124.46154747009275,127.94891961415618,129.94223098124357,126.16073519388844,298.97972649188097,11139.766,11139.766
2022-11-22 14:00:00,0.0,6146.293994140625,558.0179092407228,1700.5951361537964,0.0,2960.2612630208337,18.22667510498533,9675.556640625,0.0,2243.048199462892,4357.633333333333,3798.0111165364574,0.0,2320.1312133789065,2755.878173828125,7123.6412068684895,366.04590733415336,3890.595042509192,0.7759717151153187,213.08856773376465,28.0,139.75734202067062,124.30476930762543,128.04686374664308,124.70422248840327,127.83176127201372,129.68099149068198,126.4429121017457,298.84043153394174,11198.852,11198.852
2022-11-22 15:00:00,0.0,6144.307373046875,573.2892842610678,1679.0934986787684,0.0,3013.0134831276264,16.157676469751944,9675.556640625,0.0,2105.3811665852872,4287.578773306197,3663.689853922527,0.0,2326.339874267579,2760.2289326985683,7120.14983669249,0.0,3891.6729817708338,0.7270795833162902,214.2509611765544,28.0,138.41192957560227,122.15855849084778,125.56078745524088,124.84563670438882,128.01830461990738,130.32177429199223,127.59199158484198,298.536252339681,11221.534,11221.534
2022-11-22 16:00:00,0.0,6076.726298014323,567.0096768932184,1649.7749931398507,0.0,2948.451135253907,12.49962175775078,9675.556640625,0.0,2186.0978285845595,4442.121350097656,3720.462387982537,0.0,2346.382699661897,2757.5339113345826,7122.129781087239,0.0,3896.777618155992,0.7544950669010481,212.8635386149089,28.0,137.60816065470382,118.82850941890436,121.29026463826496,124.77010244574429,128.20702387491866,129.79468803405766,126.55169980388044,299.28097231526027,11224.862,11224.862
2022-11-22 17:00:00,0.0,6076.41328125,575.7797755722173,1650.0636179606129,0.0,3028.72538618608,4.4288254367088,9675.556640625,0.0,2202.2531314566127,4563.019579674587,3763.367342862216,0.0,2367.5396940373203,2024.013576253256,7113.794590973657,0.0,3958.544952392579,0.746388702094555,214.1154224395752,28.0,138.0400731404622,115.50485103386502,117.72114130655926,124.05205351511646,128.18009243011477,130.2112632751465,126.6604851474281,299.80503972371423,11256.872,11256.872
2022-11-22 18:00:00,0.0,6075.828641528926,583.1131386636686,1650.480616465337,0.0,2848.136505383404,15.232788105643976,9675.556640625,0.0,2248.197936498819,4561.117700400473,3736.789481026786,0.0,2382.419008912159,2054.6950324563422,7058.6249958967965,714.7180056681627,3926.3712517233457,0.729753266188724,214.78962249755853,28.0,137.4658037821452,115.511196873769,118.52754319508868,123.93970870971678,128.01605943044032,129.93688583374023,126.5665119265723,299.93861761013005,11163.45,11163.45
2022-11-22 19:00:00,7121.032784629111,4069.2615550498886,299.0520098018126,1153.519792610613,1895.2398632191544,2748.02645874561,1565.345426048385,8751.940071739677,3159.709001392034,3008.0328390445447,4679.9957795816745,3508.360098611656,1564.189890200134,2345.15369756759,154.9604912279562,6290.252166068181,753.270313963294,3113.4621200336937,113.33084547859801,25.470133387202146,81.83603559726102,123.63453434054163,131.75790847570914,120.13785900544454,121.39770630674373,125.61209016916953,126.83125877444137,121.71409688925883,300.0907427759959,11068.723,10706.962
2022-11-22 20:00:00,6159.41354474824,1177.1080305084615,258.26136759819224,1671.9123392695137,1166.3205273128383,1573.8044579587727,6497.105285696685,9664.463051695757,4443.870177122677,2483.8799045767028,2010.5340153030247,4219.699337257358,1016.8542291580743,1331.9316918582463,3173.1562225120238,6500.40136840567,407.4523152709007,3412.449624677576,146.50031117117442,143.09757051729477,215.0742959573223,127.21729791483895,115.10500948480347,128.33620895064885,120.9777841508924,126.8807193971218,129.55134078552996,123.17671247016662,297.34962215993204,11453.522,10581.342
2022-11-22 21:00:00,6634.9860659427195,728.4631576620159,1255.2573219976184,839.738435933742,1772.3985677208238,219.54953646510467,4879.662083372474,8849.814919791785,4392.856760698386,1977.6396131272468,3520.6154473244696,1761.2298122157063,2127.6863397299094,2859.2425554607407,3072.37817902247,7285.535967469215,6324.409068487585,3206.425817321938,67.64952843470996,33.53338122796408,250.82248670743195,135.4525785849201,119.60078698981255,130.94169252650116,130.6415200648428,130.58995143400287,132.3670274845249,131.2504092900178,298.51211853902834,11463.449,10653.327
